round,TS_MSE_1,TS_MSE_2,TS_MSE_3,TS_MSE_4,TS_MSE_5,TS_MSE_6
149,80.83822604212334,57.18174523264497,150.0503467059339,66.87883540537806,10.999245715508291,24.133787474808532
150,96.87990497067294,117.71931687884198,62.88857810945986,70.84788681205438,7.500079957994082,0.042559552430865955
151,92.53345777261922,166.48275148018277,60.4104862378628,146.43435518211078,0.7226796841397285,6.608207830619733
152,75.32652381279499,209.9467236479647,62.53865411268836,156.4019927577624,4.663468878050871,1.2896943740116178
153,31.210896947928646,30.769600662951976,93.49677687330308,92.111167298048,8.538714312374594,18.373521988444733
154,83.13527024919651,88.32759162552271,134.72285044410822,83.04697914683658,1.997644216999876,4.4202511350927343e-07
155,46.29022348326271,117.81044077227887,164.28336138774333,116.00141460398314,4.206794237203101,4.821511169717027
156,45.61165142114318,147.88979886539636,46.71790523036334,38.8724623835903,4.818106700309018,16.859283723206328
157,7.662578203944556,66.67109613965472,44.4343480091515,34.84632338534809,0.9545079663373538,4.4713670928520954e-07
158,3.2082112725942213,62.81467541679324,93.55826220699035,80.01225110937155,1.3158344253306775e-07,1.3151689507581574
159,15.038706100077427,80.9862721400983,103.98927548281668,92.38375366294845,1.260766759671439e-07,59.59818232025997
160,29.004779795661957,21.1266110877939,125.85849197772528,43.01649763296794,2.6783987581532354,10.903235505272244
161,80.68250039052732,52.297648226956035,101.40950331510197,94.40630329368096,2.8269244536472953,35.68243485695261
162,85.75550970013568,118.55641414547621,11.045984795258743,73.61728499989232,0.9339363671174119,0.0869202002921924
163,18.132947109194273,124.04859039970947,143.65204607535762,65.6290640268103,4.201480228190234,8.265535457211199
164,71.27487669125217,146.89635020445684,126.75653848802672,117.68332533407357,1.322387669070591e-07,20.039183985122204
165,40.16809001263397,58.284382805408484,5.65908683386994,142.99143559960316,4.851034658458979,5.41233836179988
166,163.13036310279992,65.40857169576718,19.006286372855037,200.7837726923286,1.2525014415636213e-07,4.34358093753929e-07
167,32.383302269998026,13.723737608604413,79.76630207668308,107.99598947626124,3.5718859157652094,3.920456017998627
168,85.98022331545373,184.75297502945423,145.68491286711725,83.80523654452729,3.2383018583223215,46.54032654388604
169,175.49424197224107,106.59822687875261,195.3289002653398,165.76323088031083,1.2582726933839395e-07,4.213236979161905
170,30.0214122118317,35.28159869647996,61.576204849297184,50.217620783770116,1.2148806076130566e-07,14.81139480789905
171,73.31881266763482,144.87689297927201,135.53068123311007,33.73791703330455,1.2150117558192595e-07,13.993075327942043
172,172.33868748377387,47.02179642938518,86.88055787716954,75.21833810035108,0.9718259857608627,1.432396366755701
173,0.3939011091680119,44.00010261644129,133.94172926445376,80.41448178576303,1.2099922983947464,4.393126105742562e-07
174,87.57379205663212,70.53947040567591,18.914668518727744,48.69414888984898,2.236893062168428,8.548692736894028
175,3.996312518920522,57.94690780289498,146.39063992345731,69.69499705291119,1.1312095604567553e-07,22.18808741991278
176,19.19950257344707,134.97536251395786,129.7788138606529,24.267026293769455,2.23817762945725,2.7178578681782026
177,56.05358432380507,105.24973495031199,8.50237112427315,85.89549070665493,2.007477572256616,38.83021244856227
178,8.906869624946147,54.11462138945949,57.62967179344257,103.55840975429237,1.1040617728684752,40.54669453795548
179,135.96941413831078,24.267459748579835,33.00374031288907,68.75156387838335,2.496593890873501,11.983387573598293
180,67.98273710019808,26.923899343129715,149.1306879023052,140.68102505449767,14.891194670555866,3.5299040864004083
181,13.160379662468166,149.85434037541165,123.64025687660025,117.96327015713251,1.302571681349491,1.429517917238342
182,86.78578952129658,40.01601744857603,47.889109661582644,72.22826787270895,1.3367339246064411,46.41197243658154
183,195.86062425881298,44.56622148621445,106.90244950243668,88.02938712673367,33.99155205139471,10.703899371281686
184,199.78418586874093,28.26336996987631,88.13202558599883,140.01220254442134,5.278658698949482,4.1623802187993705e-07
185,36.512877352761755,51.71705050912072,117.65227087994903,63.319406934315424,17.741398848688597,1.7118181534654768
186,98.91603911806281,17.508276819991185,61.7523863777614,84.47983887973032,3.095959811644233,12.835173814217656
187,104.44809281231686,86.39863151805379,151.3304668940492,79.42627786558252,1.3179135980582601,49.39134778285933
188,219.88200087320837,243.56445249455243,143.31287284559394,58.36750499945833,23.1996925461277,13.63235634880956
189,193.2245114032268,70.11298088836634,187.61793497355177,147.17783422644123,2.165478628729033,2.2701404675640533
190,5.809672655375116,81.12183308811431,47.893879345466466,105.75168351997827,34.6632672485871,139.54378379377494
191,19.74539919857885,59.70547067392337,135.6510998699997,191.8945922177762,1.0978391055038486,59.64007984799268
192,60.40820996461963,65.46583103258634,94.47765127545587,81.14534734688252,3.445693258017604,0.3004718619204702
193,185.0788352080387,97.87340337075986,22.708888299729935,143.9410684517134,1.1098309578675924,67.19031394602051
194,47.417862525977455,25.338990965715496,60.08470135056178,272.80243411720477,33.761360094118245,4.1391985624506955e-07
195,119.8206536236693,110.02871105004897,88.30273000117714,110.09316763905481,1.2465000250834715,191.6637820783903
196,145.47447456497326,216.61139308655456,215.29756528543135,33.05187621293876,0.8729325951752789,20.974917736079924
197,4.724823537887732,135.10594808784347,126.05321341158198,112.45459799343453,43.921157401318624,16.882732044619267
198,45.60477959255712,78.38580438273004,51.36223835181164,144.35528235529338,3.1355726219124733,8.882688450823547
199,26.308041305510546,162.2668355127414,276.3785209693206,130.94162322693572,1.5076737722642972,93.80413722813188
200,143.19820846795437,38.253853970994776,46.29077604571892,129.1162305343037,1.5729058762768893,43.66504767895964
201,14.441144128213006,122.98404605420254,113.28639388277759,432.8339213738361,0.820637738800921,57.96049703854191
202,58.30972832303297,31.914353835926814,62.63263706538153,166.9903482927256,1.1215112710329955,117.20266830988753
203,10.049261417519649,81.03908097676397,78.33791254481426,100.66837878830093,0.01180836556005651,14.590296355249253
204,125.97122300956379,232.85362104789667,74.63120153203445,140.33433370045302,1.5306729136714814,8.003714120301881
205,161.48230351094307,134.97343591550424,132.96251670179387,540.051685899588,0.3272232966752725,0.8847233225667346
206,214.62944041801217,57.08619289235437,192.34937349639725,109.00974919307784,0.02177383477808379,4.660470730928028
207,39.56183883400119,70.75954802056528,60.506816336378776,233.37071323316678,0.13159996209931468,106.1135618937025
208,30.71667622136441,161.494168758309,42.31338036102552,269.9354996905506,13.89741486295496,45.03581944591093
209,131.95156270636528,28.823318956249086,191.26298151132596,95.23876940221572,0.8782005473834675,224.9424490019358
210,85.66155162722649,133.84548861908837,87.57746342428288,678.582536593726,1.9118571253736913,12.984492021677688
211,38.516492142943655,264.45013672094507,162.77706409337273,113.62717196027755,58.07414615916771,2.017127413440585
212,81.28793384632806,28.107673908191323,166.0801543820514,102.25661652166389,2.057446002190467,82.61429408381586
213,38.11569604262554,99.66992097321209,60.75280250817023,123.51793844141491,1.2374112063727523,3.902004304499958e-07
214,409.24085482593824,275.87076951645173,35.655160404707246,177.1503676834393,57.76785028909886,22.31895231138546
215,67.86610522597674,159.74523751419932,29.805863021310543,152.39851584562734,2.542582224063504,7.0112523064495225
216,119.41855227867185,36.17901174990381,29.03650200715525,101.75186912041715,90.81068613770469,82.35189268971516
217,72.17949068298859,153.98888304478746,97.60071567932391,154.81775271069765,0.32344412729271044,0.6427883612734202
